index_label,channelId,channelTitle,videoId,year,month,day,vidoeTitle,description,link,time
0,na,na,na,na,na,na,na,na,na,na
1,na,na,na,na,na,na,na,na,na,na
2,na,na,na,na,na,na,na,na,na,na
3,na,na,na,na,na,na,na,na,na,na
4,na,na,na,na,na,na,na,na,na,na
5,na,na,na,na,na,na,na,na,na,na
6,na,na,na,na,na,na,na,na,na,na
7,na,na,na,na,na,na,na,na,na,na
8,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,HYSSbA5P-H0,2020,5,11,Boris Johnson outlines new coronavirus guidelines in Parliament - Daily Mail,"Boris Johnson has played down expectations of a quick end to the misery for the country, saying going 'too far and too fast' risked ...",https://www.youtube.com/watch?v=HYSSbA5P-H0,2020-05-11T18:48:29Z
9,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,mfh0uExIoQ0,2020,5,18,Matt Hancock: Anyone over age of five can be tested for coronavirus,"Anyone over the age of five in the UK with coronavirus symptoms can now apply for a test, Matt Hancock announced today.",https://www.youtube.com/watch?v=mfh0uExIoQ0,2020-05-18T18:50:23Z
10,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,NONhDDWPbMc,2020,5,14,Daily UK coronavirus briefing: 14 May 2020,"The first round of random public testing in England, carried out by the Office for National Statistics, detected just 33 positive ...",https://www.youtube.com/watch?v=NONhDDWPbMc,2020-05-14T16:53:33Z
11,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,UtWUqGhpuI4,2020,5,13,Boris Johnson: &#39;No childcare is a barrier for going back to work&#39;,Boris Johnson was confronted with public frustration over his lockdown exit strategy tonight as he tried to explain how they will ...,https://www.youtube.com/watch?v=UtWUqGhpuI4,2020-05-13T15:51:01Z
12,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,whKWqWIZ_NA,2020,6,15,Nike Oxford Street store sees scuffles break out as it re-opens its doors,Shoppers desperate to hit the high street formed huge socially distanced queues after dawn today as the majority of stores ...,https://www.youtube.com/watch?v=whKWqWIZ_NA,2020-06-15T16:04:44Z
13,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,whKWqWIZ_NA,2020,6,15,Nike Oxford Street store sees scuffles break out as it re-opens its doors,Shoppers desperate to hit the high street formed huge socially distanced queues after dawn today as the majority of stores ...,https://www.youtube.com/watch?v=whKWqWIZ_NA,2020-06-15T16:04:44Z
14,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,wQAjP3e2sPQ,2020,6,23,Boris Johnson announces new lockdown measures,Customers could face a three-month waiting list for a trim and some salons said they will reopen at midnight to clear the huge ...,https://www.youtube.com/watch?v=wQAjP3e2sPQ,2020-06-23T14:19:23Z
15,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,wQAjP3e2sPQ,2020,6,23,Boris Johnson announces new lockdown measures,Customers could face a three-month waiting list for a trim and some salons said they will reopen at midnight to clear the huge ...,https://www.youtube.com/watch?v=wQAjP3e2sPQ,2020-06-23T14:19:23Z
16,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,vtS56sg0kmc,2020,6,29,Mayor of Leicester discusses local lockdown preparations and frustrations,Mayor of Leicester discusses local lockdown preparations and frustrations after fresh spike in coronavirus cases leading worries it ...,https://www.youtube.com/watch?v=vtS56sg0kmc,2020-06-29T13:03:47Z
17,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,QRsB-TOqaqQ,2020,6,15,Johnson urges shoppers to shop &#39;confidently&#39; as stores reopen,The Prime Minister visited Westfield shopping centre in East London today ahead of Monday's big retail relaunch for the British ...,https://www.youtube.com/watch?v=QRsB-TOqaqQ,2020-06-15T15:16:45Z
18,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,OJgBxRMebvw,2020,9,22,Boris Johnson outlines new Covid-19 restrictions for England,"Wedding guests will be capped at 15 under new Covid-19 rules set out by Boris Johnson this afternoon, while 30 mourners will be ...",https://www.youtube.com/watch?v=OJgBxRMebvw,2020-09-22T13:48:07Z
19,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,OshYTRdDvZc,2020,9,22,Boris Johnson says UK is at &#39;perilous turning point&#39; in Covid-19 statement,Boris Johnson today raised the prospect of the Army patrolling streets in England to enforce coronavirus rules as he unveiled a ...,https://www.youtube.com/watch?v=OshYTRdDvZc,2020-09-22T13:46:15Z
20,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,w8pS4JqygXo,2020,9,17,Boris Johnson: The UK does not have enough coronavirus testing capacity,"Boris Johnson bluntly acknowledged that there is 'not enough' capacity for screening as he blamed a 'huge, huge' surge in ...",https://www.youtube.com/watch?v=w8pS4JqygXo,2020-09-17T13:58:38Z
21,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,t3axviWXmSY,2020,9,19,Boris Johnson on dealing with the &#39;inevitable&#39; coronavirus second wave,"Prime Minister Boris Johnson talks about the plans for dealing with the second wave of coronavirus, as he visits the VMIC ...",https://www.youtube.com/watch?v=t3axviWXmSY,2020-09-19T10:24:06Z
22,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,6OgbeRMmiU0,2020,10,14,&#39;I rule out nothing:&#39; Boris Johnson hints coronavirus lockdown could still happen,Boris Johnson sounded defiance on his local 'Tiers' lockdown plan today despite warnings from scientists it is the 'worst of all ...,https://www.youtube.com/watch?v=6OgbeRMmiU0,2020-10-14T16:34:54Z
23,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,gF5LvOBSmI4,2020,10,14,Aerial shot shows police trying to separate crowds in Liverpool before tier 3 lockdown,Aerial shot shows police trying to disperse crowds in Liverpool the night before tier 3 lockdown is imposed on the city. Original ...,https://www.youtube.com/watch?v=gF5LvOBSmI4,2020-10-14T12:12:24Z
24,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,bbbNiio64i0,2020,10,31,UK Lockdown: PM Boris Johnson considering placing England under national lockdown,"Prime Minister Boris Johnson is considering placing England under stringent national lockdown restrictions, which will be ...",https://www.youtube.com/watch?v=bbbNiio64i0,2020-10-31T09:41:08Z
25,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,7oFtA0y8uoA,2020,11,2,Boris Johnson says Premier League football to continue under second lockdown,Prime Minister Boris Johnson has said Premier League matches would continue to be played under a second national lockdown.,https://www.youtube.com/watch?v=7oFtA0y8uoA,2020-11-02T11:04:50Z
26,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,mByQ-T0GFGA,2020,11,4,UK Covid-19: Boris Johnson and Keir Starmer debate timing of second lockdown in PMQs,UK national Covid-19 lockdown: Boris Johnson said he never thought he would be imposing such draconian measures as are set ...,https://www.youtube.com/watch?v=mByQ-T0GFGA,2020-11-04T13:58:35Z
27,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,Ncx71lsy3SA,2020,11,5,UK lockdown reaction: Revellers talk last night in pubs before second national lockdown,UK Covid-19 lockdown response: Londoners shrugged off a resurgent COVID-19 pandemic and flocked to pubs and restaurants ...,https://www.youtube.com/watch?v=Ncx71lsy3SA,2020-11-05T17:21:48Z
28,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,pNTYBdqVk8k,2020,12,2,UK lockdown: Pubs reopen with new coronavirus measures,"The Wetherspoons branch reopens on the day the national lockdown ends, with social distancing measures in place. Alcohol can ...",https://www.youtube.com/watch?v=pNTYBdqVk8k,2020-12-02T17:26:00Z
29,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,tgwZagFPcjs,2020,12,2,Shoppers return to Selfridges as England&#39;s lockdown ends,Exclusive data from Springboard shows that the number of people visiting retailers in central London is 65 per cent lower than the ...,https://www.youtube.com/watch?v=tgwZagFPcjs,2020-12-02T17:22:24Z
30,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,vS6qJwXRv2Q,2020,12,15,French restaurant and bar owners protest against COVID measures,French restaurant and bar owners protest against COVID measures in Paris demanding more aid and a definite re-opening date.,https://www.youtube.com/watch?v=vS6qJwXRv2Q,2020-12-15T11:31:14Z
31,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,ufmcSxav3eQ,2020,12,19,London goes into Tier 4: Boris Johnson addresses those who must spend Christmas alone,The new Tier 4 restrictions will hit those in London and the South East just days before Boris Johnson's five-day 'Christmas ...,https://www.youtube.com/watch?v=ufmcSxav3eQ,2020-12-19T21:04:39Z
32,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,91PcjRS_BDc,2020,12,21,Tier 4 restrictions: British travellers nervous about returning to UK from Spain,"British travellers have said that they are nervous about returning to the UK from Spain, following the latest update the new ...",https://www.youtube.com/watch?v=91PcjRS_BDc,2020-12-21T14:45:01Z
33,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,tI_AfP-dNd0,2020,12,21,People in London react to cancelled Christmas amid Tier 4 restrictions,"People in London react to cancelled Christmas amid tough new Tier 4 restrictions announced on Saturday, following latest update ...",https://www.youtube.com/watch?v=tI_AfP-dNd0,2020-12-21T11:15:48Z
34,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,4huL_wi-hR4,2021,1,4,Scotland lockdown: Nicola Sturgeon announces another lockdown to curb Covid mutant virus,"Scotland will be plunged back into a national coronavirus lockdown from midnight this evening, Nicola Sturgeon announced this ...",https://www.youtube.com/watch?v=4huL_wi-hR4,2021-01-04T17:15:00Z
35,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,KjQsLDoQWaY,2021,1,6,Boris Johnson sells third England Covid lockdown to MPs - &#39;We had no choice&#39;,Boris Johnson today desperately tried to win over furious Tory MPs as he defended his new national coronavirus lockdown and ...,https://www.youtube.com/watch?v=KjQsLDoQWaY,2021-01-06T13:15:01Z
36,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,k_dpzFNhF7U,2021,2,15,Hotel quarantine UK: The inside story from Renaissance Heathrow,The first passengers were dropped off at hotels this morning at the start of the government's new travel quarantine scheme - as a ...,https://www.youtube.com/watch?v=k_dpzFNhF7U,2021-02-15T12:15:01Z
37,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,2_vlilJRFtM,2021,2,15,"Matt Hancock: Boris Johnson to set out &#39;decision on lockdown&#39; on Monday, 22 February",Health Secretary Matt Hancock says he'll be working with the Prime Minister Boris Johnson on making decisions about the easing ...,https://www.youtube.com/watch?v=2_vlilJRFtM,2021-02-15T11:15:01Z
38,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,-i7cn3Gdhcs,2021,2,22,The public reacts to Boris Johnson&#39;s roadmap out of lockdown,"The Prime Minister acknowledged in Parliament today that there is 'no escape' from a third wave of coronavirus cases, hospital ...",https://www.youtube.com/watch?v=-i7cn3Gdhcs,2021-02-22T21:52:29Z
39,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,jbrFKM-iJ9E,2021,2,22,Four months to freedom: Boris Johnson sets out lockdown exit plan,Prime Minister Boris Johnson has set out a four month plan to exiting lockdown. Beginning in March with schools and outdoor ...,https://www.youtube.com/watch?v=jbrFKM-iJ9E,2021-02-22T21:43:24Z
40,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,TboX962aR9w,2021,3,8,England schools open: Boris Johnson gives UK Covid-19 update as pupils return to classrooms,"Most of Britain's primary schools have reopened their doors this morning, while secondary school students will head back in ...",https://www.youtube.com/watch?v=TboX962aR9w,2021-03-08T17:13:52Z
41,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,hAm5uC252zk,2021,3,8,Boris Johnson warns school reopening will increase transmission,"The Department of Health recorded another 4712 coronavirus cases and 65 deaths, both marking substantial drops on last week's ...",https://www.youtube.com/watch?v=hAm5uC252zk,2021-03-08T19:35:39Z
42,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,1MDXH7WG-Kc,2021,6,2,"UK Covid-19 latest: Boris Johnson says, &#39;We&#39;re going to try to allow people to travel&#39;",UKTravel #BorisJohnson #UKcovid19 Boris Johnson warned that the government will have 'no hesitation' about imposing ...,https://www.youtube.com/watch?v=1MDXH7WG-Kc,2021-06-02T16:17:27Z
43,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,_boMh6NAias,2021,6,21,UK Covid-19: Boris Johnson says no to easing coronavirus rules early on July 5,UKCovid19 #Covid19 #BorisJohnson #FreedomDay Boris Johnson today poured cold water on the prospect of easing the ...,https://www.youtube.com/watch?v=_boMh6NAias,2021-06-21T13:15:01Z
44,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,1XjzQ9yhHO8,2021,6,22,"UK Covid-19: Government &#39;lurching&#39; into double-jab travel quarantine policy, says Labour",BreakingNews #UKTravel #UKCovid19 #UKNews #Covid-19 Hopes are rising for a foreign summer holiday season in August as ...,https://www.youtube.com/watch?v=1XjzQ9yhHO8,2021-06-22T10:49:42Z
45,UCw3fku0sH3qA3c3pZeJwdAw,Daily Mail,_OrZdGttzJU,2021,6,22,UK Covid-19: Confused people react to holiday quarantine update,UKCovid19 #UKCovid #UKtravel #UKHolidays #MattHancock #UKNews Matt Hancock confirmed ministers are “working on” ...,https://www.youtube.com/watch?v=_OrZdGttzJU,2021-06-22T15:20:32Z
